timeStamp,user count
1616029974000,17551856
1616030260000,17546136
1616030546000,17535412
1616030832000,17522667
1616031118000,17500563
1616031404000,17473906
1616031690000,17451255
1616031976000,17431794
1616032262000,17417836
1616032547000,17399950
1616032833000,17377786
1616033119000,17346594
1616033405000,17321311
1616033691000,17299128
1616033977000,17281427
1616034263000,17259561
1616034549000,17237197
1616034835000,17207667
1616035121000,17174089
1616035407000,17147691
1616035693000,17118782
1616035979000,17084907
1616036264000,17047027
1616036550000,16995527
1616036836000,16940721
1616037122000,16890498
1616037408000,16842062
1616037694000,16796261
1616037980000,16750985
1616038266000,16702594
1616038552000,16653875
1616038838000,16611954
1616039124000,16571779
1616039410000,16539166
1616039696000,16508228
1616039981000,16477966
1616040267000,16435327
1616040553000,16407237
1616040839000,16387652
1616041125000,16373420
1616041411000,16359892
1616041697000,16343698
1616041983000,16320771
1616042269000,16297320
1616042555000,16274408
1616042841000,16249200
1616043127000,16221752
1616043413000,16190775
1616043698000,16149707
1616043984000,16102026
1616044270000,16059933
1616044556000,16021041
1616044842000,15989153
1616045128000,15960518
1616045414000,15937231
1616045700000,15917731
1616045986000,15899511
1616046272000,15880012
1616046558000,15907968
1616046844000,15908107
1616047130000,15898206
1616047415000,15916703
1616047701000,15937566
1616047987000,15962790
1616048273000,15972303
1616048559000,15992210
1616048845000,16028875
1616049131000,16073457
1616049417000,16125235
1616049703000,16184227
1616049989000,16256162
1616050275000,16347672
1616050561000,16456706
1616050847000,16577990
1616051133000,16672428
1616051418000,16748409
1616051704000,16818681
1616051990000,16887032
1616052276000,16955485
1616052562000,17024993
1616052848000,17093557
1616053134000,17165411
1616053420000,17235773
1616053706000,17315519
1616053992000,17402950
1616054278000,17495621
1616054564000,17582097
1616054850000,17661218
1616055135000,17731326
1616055421000,17802855
1616055707000,17882789
1616055993000,17962238
1616056279000,18038811
1616056565000,18114369
1616056851000,18192215
1616057137000,18270637
1616057423000,18355270
1616057709000,18435717
1616057995000,18519660
1616058281000,18563640
1616058567000,18644880
1616058852000,18721519
1616059138000,18797714
1616059424000,18864844
1616059710000,18949850
1616059996000,19025644
1616060282000,19101895
1616060568000,19183331
1616060854000,19269883
1616061140000,19361404
1616061426000,19456446
1616061712000,19549883
1616061998000,19641029
1616062284000,19734712
1616062569000,19831879
1616062855000,19935557
1616063141000,20040027
1616063427000,20142387
1616063713000,20235041
1616063999000,20339801
1616064285000,20440397
1616064571000,20544255
1616064857000,20659327
1616065143000,20778523
1616065429000,20885378
1616065715000,21000675
1616066001000,21116251
1616066286000,21238509
1616066572000,21360492
1616066858000,21483115
1616067144000,21611397
1616067430000,21740921
1616067716000,21865613
1616068002000,21989811
1616068288000,22117801
1616068574000,22247955
1616068860000,22382564
1616069146000,22511394
1616069432000,22636971
1616069718000,22764155
1616070003000,22891115
1616070289000,23016452
1616070575000,23136238
1616070861000,23263873
1616071147000,23388009
1616071433000,23514654
1616071719000,23643865
1616072005000,23771554
1616072291000,23909483
1616072577000,24041585
1616072863000,24166295
1616073149000,24287394
1616073435000,24409427
1616073720000,24528876
1616074006000,24638874
1616074292000,24741591
1616074578000,24838026
1616074864000,24925308
1616075150000,25004592
1616075436000,25078886
1616075722000,25143547
1616076008000,25203956
1616076294000,25246112
1616076580000,25280527
1616076866000,25312238
1616077152000,25347463
1616077438000,25370329
1616077723000,25382534
1616078009000,25357234
1616078295000,25344763
1616078581000,25324270
1616078867000,25316836
1616079153000,25308442
1616079439000,25282522
1616079725000,25224632
1616080011000,25158860
1616080297000,25117948
1616080583000,25081068
1616080869000,25048104
1616081155000,25010597
1616081440000,24969946
1616081726000,24917099
1616082012000,24879381
1616082298000,24846303
1616082584000,24813676
1616082870000,24782898
1616083156000,24754207
1616083442000,24699251
1616083728000,24658749
1616084014000,24626541
1616084300000,24600511
1616084586000,24579374
1616084872000,24565577
1616085157000,24549274
1616085443000,24535740
1616085729000,24525592
1616086015000,24537748
1616086301000,24532783
1616086587000,24526223
1616086873000,24529826
1616087159000,24531916
1616087445000,24530108
1616087731000,24531050
1616088017000,24533994
1616088303000,24543348
1616088589000,24554640
1616088874000,24561129
1616089160000,24571635
1616089446000,24581781
1616089732000,24589855
1616090018000,24596428
1616090304000,24579654
1616090590000,24569533
1616090876000,24564485
1616091162000,24558834
1616091448000,24563026
1616091734000,24556717
1616092020000,24556520
1616092306000,24551077
1616092591000,24541834
1616092877000,24533912
1616093163000,24523269
1616093449000,24504422
1616093735000,24462738
1616094021000,24473027
1616094307000,24440720
1616094593000,24407275
1616094879000,24382236
1616095165000,24354310
1616095451000,24323215
1616095737000,24290148
1616096023000,24253321
1616096308000,24218783
1616096594000,24181288
1616096880000,24137510
1616097166000,24086712
1616097452000,24028204
1616097738000,23953903
1616098024000,23872101
1616098310000,23794686
1616098596000,23716443
1616098882000,23634731
1616099168000,23547417
1616099454000,23451535
1616099740000,23348807
1616100025000,23249611
1616100311000,23141183
1616100597000,23030231
1616100883000,22915726
1616101169000,22789778
1616101455000,22616936
1616101741000,22472793
1616102027000,22330846
1616102313000,22197062
1616102599000,22067181
1616102885000,21934404
1616103171000,21796241
1616103457000,21660939
1616103742000,21528886
1616104028000,21397976
1616104314000,21267405
1616104600000,21126699
1616104886000,20968403
1616105172000,20806063
1616105458000,20656062
1616105744000,20515179
1616106030000,20379380
1616106316000,20247265
1616106602000,20120140
1616106888000,19963443
1616107174000,19722223
1616107460000,19630495
1616107745000,19528824
1616108031000,19424631
1616108317000,19313757
1616108603000,19183555
1616108889000,19045789
1616109175000,18931787
1616109461000,18843394
1616109747000,18757502
1616110033000,18664531
1616110319000,18587726
1616110605000,18520599
1616110891000,18456915
1616111177000,18396114
1616111462000,18343459
1616111748000,18297775
1616112034000,18253074
1616112320000,18206430
1616112606000,18160435
1616112892000,18118806
1616113178000,18079586
1616113464000,18038591
1616113750000,18001892
1616114036000,17975845
1616114322000,17947586
1616114608000,17923065
1616114894000,17899322
1616115179000,17879021
1616115465000,17850595
1616115751000,17814863
1616116037000,17791709
1616116323000,17760560
1616116609000,17729131
1616116895000,17708407
1616117181000,17688608
1616117467000,17655614
1616117753000,17626865
1616118039000,17603307
1616118325000,17574182
1616118611000,17547076
1616118896000,17515470
1616119182000,17476260
1616119468000,17447692
1616119754000,17411323
1616120040000,17354535
1616120326000,17335315
1616120612000,17316066
1616120898000,17294898
1616121184000,17261435
1616121470000,17233861
1616121756000,17208967
1616122042000,17177658
1616122328000,17143667
1616122613000,17105511
1616122899000,17050508
1616123185000,16998071
1616123471000,16950442
1616123757000,16909434
1616124043000,16876721
1616124329000,16846503
1616124615000,16808179
1616124901000,16766176
1616125187000,16727820
1616125473000,16692047
1616125759000,16659038
1616126045000,16626174
1616126330000,16591606
1616126616000,16550369
1616126902000,16521323
1616127188000,16499313
1616127474000,16469154
1616127760000,16453989
1616128046000,16436587
1616128332000,16411701
1616128618000,16391124
1616128904000,16368597
1616129190000,16335946
1616129476000,16302807
1616129762000,16272939
1616130047000,16234034
1616130333000,16192577
1616130619000,16153988
1616130905000,16118460
1616131191000,16086768
1616131477000,16058179
1616131763000,16032961
1616132049000,16010828
1616132335000,15991606
1616132621000,16008471
1616132907000,16009033
1616133193000,16010784
1616133479000,16007239
1616133764000,16029963
